sequence_id,entity_type,entity_id,start_time,end_time,window_size,event_sequence,route_sequence,status_sequence,method_sequence,avg_response_time,max_response_time,max_risk_score,critical_count,warning_count,error_count,server_error_count,slow_count,very_slow_count,critical_route_count,login_failed_count,unauthorized_count,payment_failed_count,database_timeout_count,label,label_id,reason,scenario_sequence,main_scenarios,scenario_label_sequence,scenario_label_distribution
SEQ-00001,ip,172.16.10.1,2026-05-25 19:22:53,2026-05-25 20:38:23,20,page_view login_success page_view page_view page_view record_created data_loaded record_created login_success record_created data_loaded page_view data_loaded login_success login_success page_view data_loaded login_success login_success record_created,/ /dashboard /api/notifications /login /api/profile /dashboard/alumno / /api/products /api/products /login / /api/reports /api/notifications /login /api/students /api/reports /dashboard /api/students /api/profile /api/reports,200 200 200 200 200 201 200 201 200 201 200 200 200 200 200 200 200 200 200 201,GET POST GET GET GET POST GET POST POST POST GET GET GET POST POST GET GET POST POST POST,336.45,560.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00002,ip,172.16.10.1,2026-05-25 19:42:58,2026-05-25 20:58:38,20,record_created data_loaded record_created login_success record_created data_loaded page_view data_loaded login_success login_success page_view data_loaded login_success login_success record_created login_success page_view page_view data_loaded record_created,/dashboard/alumno / /api/products /api/products /login / /api/reports /api/notifications /login /api/students /api/reports /dashboard /api/students /api/profile /api/reports /api/products /api/products /dashboard/alumno /dashboard/alumno /dashboard,201 200 201 200 201 200 200 200 200 200 200 200 200 200 201 200 200 200 200 201,POST GET POST POST POST GET GET GET POST POST GET GET POST POST POST POST GET GET GET POST,365.75,670.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00003,ip,172.16.10.1,2026-05-25 20:02:35,2026-05-25 21:18:22,20,data_loaded page_view data_loaded login_success login_success page_view data_loaded login_success login_success record_created login_success page_view page_view data_loaded record_created login_success record_created login_success page_view login_success,/ /api/reports /api/notifications /login /api/students /api/reports /dashboard /api/students /api/profile /api/reports /api/products /api/products /dashboard/alumno /dashboard/alumno /dashboard /api/profile /api/notifications /dashboard / /api/reports,200 200 200 200 200 200 200 200 200 201 200 200 200 200 201 200 201 200 200 200,GET GET GET POST POST GET GET POST POST POST POST GET GET GET POST POST POST POST GET POST,407.0,700.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00004,ip,172.16.10.1,2026-05-25 20:22:27,2026-05-25 21:38:40,20,page_view data_loaded login_success login_success record_created login_success page_view page_view data_loaded record_created login_success record_created login_success page_view login_success record_created data_loaded page_view data_loaded login_success,/api/reports /dashboard /api/students /api/profile /api/reports /api/products /api/products /dashboard/alumno /dashboard/alumno /dashboard /api/profile /api/notifications /dashboard / /api/reports /api/reports /api/profile /api/profile /login /api/inventory,200 200 200 200 201 200 200 200 200 201 200 201 200 200 200 201 200 200 200 200,GET GET POST POST POST POST GET GET GET POST POST POST POST GET POST POST GET GET GET POST,414.5,700.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00005,ip,172.16.10.1,2026-05-25 20:42:53,2026-05-25 21:58:13,20,login_success page_view page_view data_loaded record_created login_success record_created login_success page_view login_success record_created data_loaded page_view data_loaded login_success data_loaded page_view login_success login_success data_loaded,/api/products /api/products /dashboard/alumno /dashboard/alumno /dashboard /api/profile /api/notifications /dashboard / /api/reports /api/reports /api/profile /api/profile /login /api/inventory /api/profile /api/students /dashboard /api/profile /api/inventory,200 200 200 200 201 200 201 200 200 200 201 200 200 200 200 200 200 200 200 200,POST GET GET GET POST POST POST POST GET POST POST GET GET GET POST GET GET POST POST GET,440.4,744.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00006,ip,172.16.10.1,2026-05-25 21:02:21,2026-05-25 22:18:48,20,login_success record_created login_success page_view login_success record_created data_loaded page_view data_loaded login_success data_loaded page_view login_success login_success data_loaded data_loaded login_success record_created login_success login_success,/api/profile /api/notifications /dashboard / /api/reports /api/reports /api/profile /api/profile /login /api/inventory /api/profile /api/students /dashboard /api/profile /api/inventory /api/students /api/notifications /login /dashboard /api/students,200 201 200 200 200 201 200 200 200 200 200 200 200 200 200 200 200 201 200 200,POST POST POST GET POST POST GET GET GET POST GET GET POST POST GET GET POST POST POST POST,443.75,744.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00007,ip,172.16.10.1,2026-05-25 21:22:17,2026-05-25 22:38:17,20,record_created data_loaded page_view data_loaded login_success data_loaded page_view login_success login_success data_loaded data_loaded login_success record_created login_success login_success record_created login_success data_loaded page_view data_loaded,/api/reports /api/profile /api/profile /login /api/inventory /api/profile /api/students /dashboard /api/profile /api/inventory /api/students /api/notifications /login /dashboard /api/students /dashboard/alumno /api/students /api/inventory /dashboard/alumno /,201 200 200 200 200 200 200 200 200 200 200 200 201 200 200 201 200 200 200 200,POST GET GET GET POST GET GET POST POST GET GET POST POST POST POST POST POST GET GET GET,449.7,744.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00008,ip,172.16.10.1,2026-05-25 21:42:59,2026-05-25 22:58:26,20,data_loaded page_view login_success login_success data_loaded data_loaded login_success record_created login_success login_success record_created login_success data_loaded page_view data_loaded login_success page_view page_view login_success login_success,/api/profile /api/students /dashboard /api/profile /api/inventory /api/students /api/notifications /login /dashboard /api/students /dashboard/alumno /api/students /api/inventory /dashboard/alumno / /api/notifications / /api/products /api/students /api/notifications,200 200 200 200 200 200 200 201 200 200 201 200 200 200 200 200 200 200 200 200,GET GET POST POST GET GET POST POST POST POST POST POST GET GET GET POST GET GET POST POST,470.75,744.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00009,ip,172.16.10.1,2026-05-25 22:02:20,2026-05-25 23:18:38,20,data_loaded login_success record_created login_success login_success record_created login_success data_loaded page_view data_loaded login_success page_view page_view login_success login_success login_success page_view record_created page_view data_loaded,/api/students /api/notifications /login /dashboard /api/students /dashboard/alumno /api/students /api/inventory /dashboard/alumno / /api/notifications / /api/products /api/students /api/notifications /api/inventory /login /api/reports /login /login,200 200 201 200 200 201 200 200 200 200 200 200 200 200 200 200 200 201 200 200,GET POST POST POST POST POST POST GET GET GET POST GET GET POST POST POST GET POST GET GET,464.3,692.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
SEQ-00010,ip,172.16.10.1,2026-05-25 22:22:51,2026-05-25 23:38:13,20,record_created login_success data_loaded page_view data_loaded login_success page_view page_view login_success login_success login_success page_view record_created page_view data_loaded login_success record_created login_success page_view page_view,/dashboard/alumno /api/students /api/inventory /dashboard/alumno / /api/notifications / /api/products /api/students /api/notifications /api/inventory /login /api/reports /login /login /api/profile /dashboard /login / /dashboard/alumno,201 200 200 200 200 200 200 200 200 200 200 200 201 200 200 200 201 200 200 200,POST POST GET GET GET POST GET GET POST POST POST GET POST GET GET POST POST POST GET GET,465.5,692.0,3,0,0,0,0,0,0,0,0,0,0,0,normal,0,Secuencia etiquetada como normal usando scenario_label del dataset controlado. Escenarios presentes: normal_traffic. Labels presentes: normal.,normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic normal_traffic,normal_traffic,normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal normal,"{""normal"": 20}"
