timestamp,user_id,ip,method,route,status_code,response_time_ms,event_type,message,severity
2026-05-25 15:23:52,user_019,10.0.0.15,POST,/dashboard/admin,401,1727,login_failed,Credenciales incorrectas,warning
2026-05-25 15:24:14,user_012,181.65.22.31,POST,/api/products,201,441,record_created,Registro creado correctamente,normal
2026-05-25 15:29:42,user_042,192.168.1.10,GET,/,403,1029,unauthorized_access,Intento de acceso no autorizado,warning
2026-05-25 15:33:49,user_072,45.90.130.78,POST,/api/students,201,192,record_created,Registro creado correctamente,normal
2026-05-25 15:42:59,user_081,190.12.45.11,POST,/api/products,200,420,login_success,Inicio de sesión correcto,normal
2026-05-25 15:43:52,user_085,200.48.10.6,POST,/dashboard/admin,200,186,login_success,Inicio de sesión correcto,normal
2026-05-25 15:45:43,user_046,181.65.22.30,POST,/api/profile,201,506,record_created,Registro creado correctamente,normal
2026-05-25 16:00:13,user_034,181.65.22.31,POST,/api/notifications,200,563,login_success,Inicio de sesión correcto,normal
2026-05-25 16:04:04,user_086,190.12.45.11,POST,/login,201,667,record_created,Registro creado correctamente,normal
2026-05-25 16:14:28,admin_03,10.0.0.16,GET,/api/reports,200,204,data_loaded,Datos cargados correctamente,normal
2026-05-25 16:20:36,user_091,45.90.130.77,POST,/api/orders,401,1779,login_failed,Credenciales incorrectas,warning
2026-05-25 16:20:44,user_029,10.0.0.16,GET,/dashboard/alumno,200,557,data_loaded,Datos cargados correctamente,normal
2026-05-25 16:27:37,user_099,192.168.1.12,GET,/api/students,403,1652,unauthorized_access,Intento de acceso no autorizado,warning
2026-05-25 16:31:37,user_095,190.12.45.10,POST,/api/inventory,201,523,record_created,Registro creado correctamente,normal
2026-05-25 16:34:39,user_031,181.65.22.30,GET,/login,200,622,data_loaded,Datos cargados correctamente,normal
2026-05-25 16:36:06,user_069,181.65.22.30,GET,/api/students,200,94,page_view,Página cargada correctamente,normal
2026-05-25 16:49:49,user_096,45.90.130.77,GET,/,200,671,page_view,Página cargada correctamente,normal
2026-05-25 16:56:45,user_093,192.168.1.12,GET,/dashboard,200,2348,slow_response,Respuesta lenta del servidor,warning
2026-05-25 17:04:04,user_023,190.12.45.11,POST,/api/notifications,200,687,login_success,Inicio de sesión correcto,normal
2026-05-25 17:07:19,user_113,192.168.1.11,GET,/api/inventory,200,2069,slow_response,Respuesta lenta del servidor,warning
2026-05-25 17:13:13,user_099,10.0.0.15,POST,/dashboard/admin,201,311,record_created,Registro creado correctamente,normal
2026-05-25 17:18:39,user_048,181.65.22.30,GET,/api/products,200,654,data_loaded,Datos cargados correctamente,normal
2026-05-25 17:20:44,user_009,181.65.22.30,GET,/api/products,200,2203,slow_response,Respuesta lenta del servidor,warning
2026-05-25 17:29:10,user_081,45.90.130.78,POST,/api/products,200,505,login_success,Inicio de sesión correcto,normal
2026-05-25 17:32:48,user_044,45.90.130.78,GET,/login,200,512,page_view,Página cargada correctamente,normal
2026-05-25 17:38:43,user_084,190.12.45.12,POST,/api/database,401,1519,login_failed,Credenciales incorrectas,warning
2026-05-25 17:46:06,user_075,45.90.130.77,POST,/api/reports,201,690,record_created,Registro creado correctamente,normal
2026-05-25 17:49:53,user_056,45.90.130.77,POST,/dashboard/admin,201,691,record_created,Registro creado correctamente,normal
